,Edad,Género,Ingresos,Altura,Ciudad,Nivel_Educación,Hijos
107,88,F,24620,1.91,Los Angeles,Bachelor,3
108,42,F,68937,1.85,Phoenix,PhD,5
109,99,F,36507,1.82,Chicago,PhD,1
110,100,F,56504,1.96,Chicago,Master,4
111,160,,-1204,1.54,,mastre,-4
112,30,F,42064,1.55,Houston,Bachelor,3
113,5,F,69586,1.66,Los Angeles,Master,1
114,41,M,42819,1.95,New York,Master,2
115,-7,,-1526,1.85,,no education,-1
116,170,,-1197,1.81,,no education,-2
117,9,F,29834,1.84,Phoenix,PhD,2
118,28,F,87598,1.81,New York,None,0
119,73,M,72596,1.55,Los Angeles,None,3
120,92,F,51294,1.56,Houston,Master,2
121,41,M,51056,1.78,Phoenix,None,3
122,28,M,44335,1.85,Phoenix,Bachelor,3
123,-1,,-1385,1.5,,pHd,-4
124,64,F,32332,1.89,New York,PhD,1
125,51,M,97109,1.98,Los Angeles,Bachelor,4
126,83,F,20352,1.92,Houston,Bachelor,2
127,59,M,62298,1.99,New York,Bachelor,0
128,19,M,46147,1.81,Chicago,PhD,5
129,34,F,46946,1.85,Los Angeles,Master,4
130,18,F,42020,1.77,Chicago,Master,4
131,32,M,61101,1.65,Houston,Master,2
132,96,F,24000,1.64,New York,PhD,5
133,72,M,31359,1.82,Los Angeles,None,0
134,69,F,66096,1.56,New York,Bachelor,3
135,34,M,90458,1.64,Chicago,None,3
136,96,M,23505,1.52,New York,Master,3
137,75,M,73471,1.59,Chicago,PhD,1
138,55,M,79609,1.75,Chicago,Bachelor,1
139,75,F,54875,1.58,Chicago,PhD,5
140,-3,,-1766,1.92,,no education,-2
141,47,M,79113,1.83,Chicago,None,0
142,29,F,57830,1.87,Chicago,None,0
143,18,M,61054,1.64,Chicago,Bachelor,0
144,-9,,-1981,1.96,,Bachelors,-3
145,64,M,61802,1.86,New York,Bachelor,4
146,12,F,38334,1.6,Chicago,None,1
147,97,M,46549,1.77,Chicago,Master,3
148,7,M,59250,1.61,Los Angeles,PhD,1
149,15,M,26336,1.97,New York,PhD,1
150,20,M,84235,1.59,Chicago,Bachelor,3
151,81,M,78236,1.86,Houston,None,4
152,21,F,88688,1.63,Houston,PhD,3
153,88,M,25234,1.61,New York,Bachelor,4
154,55,F,53096,1.56,New York,Master,3
155,77,F,64763,1.85,Chicago,None,2
156,9,M,22048,1.97,New York,None,3
157,50,M,23048,1.62,Houston,None,2
158,49,M,75776,1.78,Phoenix,Master,1
159,77,F,88010,1.57,New York,Master,2
160,60,M,95576,2.0,Phoenix,Master,5
161,-5,,167121,1.93,,mastre,-4
162,33,F,89453,1.6,Chicago,Master,5
163,71,M,95579,1.68,Chicago,None,0
164,175,,154115,1.74,,no education,-3
165,88,F,73560,1.64,Chicago,Bachelor,2
166,93,F,80024,1.54,Chicago,None,4
167,15,F,38197,1.6,Phoenix,None,5
168,88,F,54297,1.66,New York,Master,0
169,69,M,82406,1.83,Phoenix,PhD,4
170,97,F,20107,1.64,Los Angeles,PhD,2
171,35,M,61096,1.79,Phoenix,PhD,5
172,99,F,35065,1.56,Phoenix,None,1
173,83,M,94108,1.93,Houston,Master,4
174,44,F,34093,1.59,Los Angeles,None,4
175,15,F,42808,1.63,Houston,None,3
176,38,F,33094,1.69,Houston,Master,4
177,56,F,77302,1.59,Chicago,PhD,2
178,21,F,54410,1.57,Chicago,Bachelor,0
179,59,M,73239,1.66,Chicago,Master,5
180,1,M,58831,1.81,Phoenix,Master,0
181,93,F,41470,1.67,Houston,Master,4
182,93,M,56057,1.93,Houston,PhD,5
183,34,F,88719,1.76,New York,Bachelor,2
184,65,F,77472,1.6,Chicago,Bachelor,1
185,98,F,22033,1.57,Los Angeles,Bachelor,1
186,23,M,60802,1.91,Los Angeles,None,4
187,65,M,26787,1.71,Chicago,Master,2
188,14,M,88434,1.6,Los Angeles,PhD,1
189,81,F,33128,1.66,Houston,None,2
190,39,F,81382,1.55,New York,Master,2
191,82,M,86234,1.85,Phoenix,Bachelor,4
192,65,F,42242,1.75,Chicago,PhD,3
193,78,F,54495,1.61,Los Angeles,PhD,5
194,26,F,39751,1.7,Los Angeles,Bachelor,5
195,20,M,25533,1.84,New York,PhD,3
196,48,M,70181,1.81,Chicago,PhD,1
197,98,M,24256,1.77,Los Angeles,PhD,2
198,21,M,47934,1.58,Chicago,Master,3
199,70,F,41806,1.76,Houston,PhD,3
200,100,F,70386,1.75,New York,Bachelor,2
201,68,M,78113,1.5,Los Angeles,Bachelor,2
202,1,M,40824,1.83,Los Angeles,Bachelor,0
203,77,M,44775,1.62,Phoenix,Bachelor,0
204,42,F,81725,1.98,Houston,None,0
205,63,F,27877,1.97,Los Angeles,Bachelor,1
206,3,M,70625,1.99,Los Angeles,Bachelor,2
207,15,M,54605,1.67,Chicago,Master,4
208,47,F,93794,1.78,Phoenix,Master,2
209,40,M,28372,1.56,Los Angeles,None,3
210,169,,-1517,1.66,,Bachelors,-1
211,8,M,28799,1.58,Los Angeles,Master,2
212,31,F,41051,1.66,Chicago,Bachelor,3
213,73,M,92858,1.84,Chicago,Bachelor,5
214,11,F,70911,1.57,Los Angeles,Master,4
215,11,M,49097,1.96,Los Angeles,Bachelor,4
216,94,F,65518,1.72,Chicago,Master,4
217,63,F,48421,1.98,Los Angeles,Master,5
218,9,F,38160,1.89,Phoenix,Bachelor,2
219,98,M,55497,1.76,Chicago,Bachelor,5
220,69,F,39868,1.56,New York,PhD,0
221,-8,,-1035,1.78,,no education,-1
222,17,F,40394,1.95,Chicago,None,5
223,17,F,62062,1.61,Los Angeles,Master,1
224,85,F,99508,1.99,Chicago,Bachelor,3
225,61,F,47218,1.86,Houston,Bachelor,5
226,71,F,98134,1.68,Houston,Bachelor,0
227,22,M,84981,1.93,Chicago,PhD,4
228,-9,,-1135,1.88,,mastre,-2
229,68,F,67696,1.61,Houston,Bachelor,3
230,78,M,88678,1.85,Los Angeles,Master,3
231,55,M,88527,1.54,Houston,Master,4
232,28,M,26028,1.98,Los Angeles,Master,3
233,200,,178989,1.57,,Bachelors,-2
234,97,M,50640,1.63,Los Angeles,Master,1
235,94,F,44326,1.81,Los Angeles,None,2
236,89,F,66164,1.86,Houston,PhD,5
237,26,F,22961,1.85,Chicago,Master,4
238,92,F,77757,1.67,New York,PhD,4
239,40,M,27165,1.74,Houston,PhD,2
240,52,F,86039,1.66,Los Angeles,PhD,1
241,86,F,95948,1.67,Houston,Bachelor,4
242,84,F,85740,1.9,Phoenix,Master,2
243,48,M,70722,1.69,Chicago,Bachelor,2
244,173,,-1512,1.72,,mastre,-2
245,67,M,44795,1.65,Phoenix,Master,1
246,58,M,26013,1.87,New York,Bachelor,0
247,16,M,63647,1.78,Los Angeles,Master,5
248,32,F,92653,1.57,Chicago,None,1
249,29,F,24066,1.89,Los Angeles,None,4
250,9,M,35486,1.99,Phoenix,PhD,1
251,44,F,51538,1.62,New York,Master,4
252,3,M,47032,1.87,Los Angeles,None,1
253,76,M,84007,1.72,Chicago,PhD,4
254,71,M,49780,1.61,Phoenix,PhD,4
255,30,M,85074,1.51,Chicago,PhD,3
256,76,F,25140,1.52,Chicago,Bachelor,4
257,29,M,85116,1.73,Houston,PhD,2
258,1,F,44688,1.7,Chicago,PhD,2
259,-2,,182808,1.83,,no education,-3
260,91,M,60216,1.65,Phoenix,PhD,4
261,81,M,33909,1.85,Houston,None,1
262,8,F,73631,1.68,New York,None,2
263,30,F,39860,1.51,Phoenix,None,1
264,9,M,92691,1.92,Los Angeles,PhD,1
265,5,M,92335,1.62,New York,Master,4
266,43,M,65443,1.59,New York,PhD,3
267,10,M,78962,1.71,Houston,Master,1
268,66,M,54556,1.73,Phoenix,None,5
269,199,,188958,1.79,,Bachelors,-4
270,36,M,46249,1.73,Phoenix,PhD,2
271,183,,-1394,1.81,,pHd,-4
272,63,M,85128,1.61,New York,None,0
273,-6,,193792,1.9,,mastre,-3
274,70,M,56819,1.64,Chicago,Bachelor,3
275,17,M,90645,1.58,Los Angeles,Bachelor,3
276,93,F,23164,1.64,New York,Master,2
277,181,,-1086,1.62,,mastre,-4
278,74,F,92091,1.77,Chicago,PhD,1
279,61,F,68253,1.95,Phoenix,None,0
280,32,M,55432,1.99,Phoenix,None,4
281,61,F,46505,1.89,New York,PhD,3
282,53,M,89294,1.55,Los Angeles,Bachelor,3
283,25,F,46230,1.8,Los Angeles,Master,3
284,13,M,33025,1.85,New York,None,5
285,171,,191475,1.94,,pHd,-3
286,-8,,192518,1.71,,no education,-1
287,56,M,59292,1.67,New York,None,5
288,46,M,84002,1.84,New York,None,5
289,55,F,42990,1.65,Phoenix,PhD,5
290,53,F,54813,1.74,New York,None,3
291,60,M,29345,1.82,Chicago,Master,0
292,94,F,26862,1.51,Chicago,Master,3
293,7,M,44887,1.51,Phoenix,None,3
294,87,F,64543,1.69,Phoenix,Master,5
295,84,F,28808,1.89,New York,PhD,1
296,83,M,86565,1.52,Chicago,Master,4
297,-10,,-1090,1.64,,Bachelors,-5
298,8,F,64407,1.94,Los Angeles,Bachelor,2
299,52,F,66753,1.7,Phoenix,None,4
300,94,M,58387,1.9,Houston,Master,1
301,188,,-1877,1.89,,pHd,-4
302,14,M,68973,1.98,New York,PhD,2
303,32,M,41719,1.94,Chicago,Master,1
304,25,F,92086,1.51,Houston,Bachelor,1
305,25,M,35741,1.59,Los Angeles,Master,1
306,69,F,50938,1.99,Los Angeles,Master,1
307,58,F,83944,1.74,New York,None,3
308,18,M,43510,1.7,Chicago,None,5
309,55,M,99643,1.76,Houston,Master,3
310,24,F,53220,1.78,Phoenix,Bachelor,5
311,36,F,70664,1.92,Los Angeles,Bachelor,1
312,60,F,93418,1.77,Phoenix,Master,4
313,32,F,29673,1.59,Los Angeles,None,5
314,166,,-1954,1.74,,mastre,-2
315,57,F,75914,1.85,Los Angeles,Bachelor,5
316,71,F,61777,1.52,New York,Master,3
317,13,F,46168,1.92,Los Angeles,Master,3
318,157,,173250,1.77,,Bachelors,-4
319,84,M,60619,1.93,Phoenix,None,3
320,70,F,92779,1.55,Los Angeles,PhD,3
321,2,M,33172,1.75,Los Angeles,None,2
322,12,M,34262,1.91,Houston,None,1
323,97,F,99939,2.0,Chicago,None,3
324,196,,-1400,1.72,,Bachelors,-3
325,22,F,39595,1.62,Los Angeles,None,3
326,53,M,92168,1.72,Los Angeles,Master,0
327,63,F,91715,1.91,Phoenix,None,1
328,62,F,39655,1.93,New York,PhD,2
329,28,F,93123,1.66,Phoenix,PhD,1
330,52,F,40300,1.87,New York,PhD,3
331,8,M,36553,1.8,New York,Bachelor,4
332,22,M,33927,1.96,Houston,Master,1
333,49,M,40937,1.97,New York,PhD,0
334,1,F,85825,1.66,New York,Master,2
335,50,M,38300,1.98,Houston,Bachelor,1
336,34,F,71458,1.84,Houston,None,5
337,59,M,44806,1.66,Phoenix,Bachelor,1
338,37,F,37759,1.87,Chicago,None,0
339,55,M,48077,1.58,Los Angeles,Master,1
340,90,F,74385,1.51,Houston,Bachelor,1
341,94,M,68640,1.79,Los Angeles,PhD,4
342,72,F,54912,1.52,New York,None,5
343,85,F,67377,1.63,Los Angeles,PhD,1
344,92,M,58849,1.52,Chicago,Master,4
345,63,M,22318,1.76,Chicago,None,5
346,20,M,60176,1.51,Chicago,Bachelor,2
347,25,M,23396,1.52,Los Angeles,PhD,1
348,38,M,97195,1.67,Chicago,Master,1
349,28,M,44622,1.82,Los Angeles,None,2
350,8,F,82139,1.66,Los Angeles,None,1
351,75,F,24878,1.79,Los Angeles,Master,5
352,95,M,86318,1.65,Chicago,Master,0
353,70,M,59977,1.56,Chicago,Master,1
354,8,M,82504,1.98,Los Angeles,None,1
355,96,M,59558,1.72,Los Angeles,Bachelor,1
356,41,F,60307,1.54,Houston,PhD,3
357,8,M,24649,1.51,Chicago,Bachelor,5
358,7,F,92081,1.59,Phoenix,None,5
359,75,F,41111,1.71,Houston,Master,0
360,62,M,28183,1.87,Houston,Master,5
361,65,F,38811,1.8,Chicago,None,5
362,68,M,63898,1.82,Houston,Bachelor,3
363,21,F,32729,1.65,New York,None,3
364,8,M,45760,1.89,Phoenix,PhD,1
365,66,M,66341,1.65,Houston,Bachelor,4
366,11,M,29583,1.78,Houston,None,2
367,24,F,48721,1.6,Phoenix,PhD,4
368,9,F,22112,1.52,Los Angeles,None,4
369,-1,,195484,1.87,,mastre,-4
370,9,F,74503,1.71,Phoenix,PhD,2
371,87,M,84462,1.77,New York,Master,3
372,31,M,70315,1.62,Houston,PhD,3
373,52,M,46459,1.96,Los Angeles,Bachelor,1
374,16,M,35770,1.51,Phoenix,PhD,2
375,164,,-1797,1.96,,Bachelors,-3
376,32,M,92618,1.99,Phoenix,Master,5
377,75,M,51652,1.88,Los Angeles,PhD,2
378,194,,-1572,1.94,,no education,-1
379,6,F,88109,1.6,New York,PhD,4
380,80,M,71930,1.91,Phoenix,Bachelor,3
381,11,M,89014,1.67,Chicago,PhD,3
382,54,M,53870,1.72,Phoenix,PhD,1
383,85,M,35868,1.74,Phoenix,Bachelor,1
384,75,F,96054,1.93,Phoenix,PhD,1
385,73,M,52613,1.79,Houston,None,1
386,67,M,80007,1.76,New York,Bachelor,3
387,41,M,24242,1.67,New York,Bachelor,0
388,34,M,56622,1.61,Los Angeles,Master,4
389,27,F,47626,1.84,New York,PhD,2
390,86,M,46760,1.99,New York,None,1
391,92,F,23974,1.76,Los Angeles,PhD,1
392,177,,-1084,1.56,,Bachelors,-3
393,31,F,43031,1.86,Phoenix,PhD,4
394,34,F,65250,1.67,Phoenix,Bachelor,0
395,51,M,35113,1.88,New York,PhD,2
396,17,F,64401,1.57,Chicago,None,3
397,86,F,72606,1.69,New York,Bachelor,2
398,83,M,47268,1.74,Phoenix,Bachelor,1
399,39,M,58161,1.94,Phoenix,Master,0
400,59,F,62074,1.95,Houston,Bachelor,0
401,41,F,22204,1.61,New York,Bachelor,0
402,97,M,28630,1.89,Phoenix,Bachelor,4
403,10,M,21724,1.62,Los Angeles,None,5
404,192,,165214,1.55,,mastre,-1
405,-2,,-1007,1.65,,no education,-4
406,80,M,42133,1.63,New York,None,3
407,-1,,177010,1.84,,no education,-1
408,13,M,32317,1.58,Phoenix,Master,2
409,10,M,55465,1.87,Los Angeles,PhD,5
410,69,M,41011,1.76,Houston,PhD,2
411,28,M,86306,1.82,Houston,None,4
412,65,F,59687,1.96,New York,Master,2
413,34,F,99139,1.85,Houston,Master,3
414,17,M,92351,1.77,Houston,PhD,4
415,45,M,91518,1.87,Los Angeles,Bachelor,2
416,9,M,99478,1.97,Chicago,Master,5
417,32,F,82922,1.62,New York,Master,2
418,-8,,-1467,2.0,,no education,-2
419,37,M,89693,1.99,New York,Bachelor,3
420,21,M,93480,1.64,Houston,PhD,0
421,57,F,75617,1.83,Houston,PhD,5
422,70,M,26401,1.74,Los Angeles,Bachelor,0
423,91,M,20809,1.88,Chicago,None,4
424,153,,179148,1.72,,pHd,-5
425,-9,,183826,1.88,,Bachelors,-4
426,84,M,83472,1.79,Houston,None,4
427,68,M,56827,1.63,Chicago,None,1
428,2,F,92152,1.81,Houston,Bachelor,0
429,86,F,46685,1.68,New York,Master,2
430,71,M,53141,1.73,Houston,Bachelor,2
431,39,F,78378,1.71,Chicago,PhD,1
432,85,F,95481,1.76,New York,Master,1
433,14,M,42570,1.76,Los Angeles,Bachelor,1
434,18,M,79106,1.84,Chicago,PhD,0
435,34,M,87052,1.77,Chicago,PhD,5
436,15,M,42813,1.67,Los Angeles,Master,1
437,14,M,39308,1.51,New York,PhD,1
438,96,M,20684,1.75,New York,None,5
439,71,F,82336,1.55,Houston,Bachelor,3
440,20,F,68146,1.94,Houston,Bachelor,0
441,35,F,98478,1.57,Houston,Bachelor,0
442,37,M,22867,1.91,Houston,None,5
443,78,M,79056,1.76,Phoenix,None,3
444,27,M,41745,1.9,Chicago,Bachelor,1
445,92,M,82970,1.99,Los Angeles,None,5
446,44,F,84534,1.74,Los Angeles,Master,4
447,-6,,-1195,1.59,,mastre,-1
448,88,M,61885,1.72,Los Angeles,Master,0
449,82,F,74562,1.9,Phoenix,PhD,0
450,34,M,30620,1.79,Houston,None,4
451,65,M,79176,1.72,New York,Master,0
452,63,F,20984,1.75,New York,Bachelor,1
453,33,M,32841,1.78,Phoenix,Bachelor,3
454,7,F,22534,1.58,Chicago,PhD,2
455,12,F,43715,1.99,New York,Bachelor,1
456,82,F,88039,1.8,New York,Bachelor,5
457,55,F,29523,1.54,Chicago,None,1
458,36,F,70795,1.72,Los Angeles,Bachelor,1
459,6,F,75681,1.68,Houston,Master,0
460,1,M,29476,1.89,Houston,PhD,5
461,43,F,82305,1.53,Houston,Master,3
462,99,F,81469,1.61,Phoenix,Bachelor,5
463,17,M,66062,1.76,Los Angeles,Master,3
464,82,M,54555,1.62,New York,Bachelor,2
465,34,F,86624,1.76,Houston,PhD,3
466,21,M,80184,1.95,Houston,Bachelor,1
467,95,F,63126,1.74,Chicago,None,0
468,57,M,36342,1.68,Chicago,Bachelor,5
469,71,F,77495,1.79,New York,None,1
470,91,M,39240,1.57,Phoenix,None,5
471,55,M,57377,1.71,Houston,Master,0
472,72,M,50214,1.78,Chicago,None,5
473,2,F,31856,1.87,Los Angeles,None,2
474,15,M,91876,1.66,Houston,Bachelor,2
475,10,M,21938,1.81,Los Angeles,Master,4
476,89,M,39015,1.66,Chicago,Bachelor,2
477,20,F,28828,1.95,Houston,Bachelor,1
478,194,,181508,1.72,,Bachelors,-5
479,5,M,31454,1.87,New York,PhD,3
480,48,F,88538,1.64,Houston,Bachelor,3
481,75,M,54314,1.68,Chicago,Bachelor,5
482,71,M,80148,1.69,Los Angeles,Bachelor,5
483,19,F,84323,1.93,Los Angeles,None,4
484,56,F,90878,1.7,Los Angeles,Bachelor,0
485,17,F,54973,1.9,Chicago,Bachelor,0
486,6,F,24195,1.77,Chicago,Master,0
487,40,M,50043,1.52,New York,PhD,5
488,158,,-1548,1.76,,no education,-2
489,6,M,74848,1.85,Houston,None,0
490,46,F,45539,1.82,Houston,Master,2
491,27,M,57094,1.99,Phoenix,Bachelor,5
492,157,,-1350,1.55,,no education,-3
493,32,F,96534,1.62,Phoenix,None,5
494,86,F,85684,1.84,Chicago,Master,1
495,14,F,93535,1.94,Houston,PhD,4
496,46,M,57815,1.69,New York,Bachelor,1
497,100,F,83725,1.86,Houston,Master,3
498,72,M,78534,1.82,Houston,PhD,3
499,164,,182511,1.65,,pHd,-4
500,80,F,58486,1.92,Los Angeles,Master,2
501,96,F,44900,1.97,Phoenix,Bachelor,1
502,20,M,93217,1.79,New York,None,3
503,31,F,83964,1.79,New York,Bachelor,4
504,21,M,36582,1.81,Los Angeles,Bachelor,5
505,23,M,72641,1.75,Los Angeles,None,2
506,53,M,30596,1.96,Phoenix,PhD,4
507,4,F,50647,1.6,New York,Bachelor,2
508,196,,181950,1.6,,pHd,-3
509,95,M,96684,1.85,Chicago,PhD,4
510,-7,,154738,1.75,,Bachelors,-1
511,53,M,73776,1.95,Chicago,PhD,2
512,86,M,74538,1.57,Chicago,Bachelor,3
513,95,F,49714,1.85,Chicago,Bachelor,1
514,32,F,32194,1.56,Phoenix,None,5
515,35,F,76549,1.86,Los Angeles,Master,2
516,21,M,53071,1.98,Houston,Master,0
517,90,F,54723,1.94,Phoenix,None,1
518,14,M,22731,2.0,Chicago,Bachelor,2
519,49,F,26116,1.87,Los Angeles,Bachelor,1
520,5,M,21056,1.55,Los Angeles,None,4
521,61,F,21723,1.73,Phoenix,PhD,0
522,29,M,86830,1.72,Houston,None,4
523,26,F,51191,1.89,Los Angeles,Master,1
524,59,M,64087,1.69,New York,PhD,0
525,45,M,65659,1.61,Los Angeles,PhD,0
526,40,M,65746,1.77,Los Angeles,None,0
527,30,F,41679,1.9,Phoenix,Bachelor,5
528,29,M,50375,1.94,Chicago,PhD,5
529,4,M,80601,1.52,Houston,Bachelor,3
530,85,M,56460,1.87,Los Angeles,None,1
531,25,F,24414,1.87,Phoenix,Bachelor,2
532,52,F,52489,1.99,New York,Master,1
533,-1,,-1170,1.87,,Bachelors,-3
534,36,M,91031,1.53,Los Angeles,PhD,5
535,9,F,50175,1.92,Los Angeles,PhD,5
536,99,M,50321,1.92,Chicago,Bachelor,5
537,163,,185434,1.81,,pHd,-3
538,45,F,50802,1.95,New York,Master,4
539,83,M,79064,1.8,Chicago,PhD,1
540,66,M,20968,1.82,Los Angeles,None,4
541,52,M,78983,1.59,Chicago,Master,4
542,87,M,85627,2.0,Chicago,Bachelor,3
543,69,F,48346,1.85,Chicago,Bachelor,5
544,43,M,60819,1.94,Los Angeles,Bachelor,3
545,4,M,24564,1.87,New York,PhD,5
546,15,F,44278,1.54,Phoenix,None,2
547,34,M,26283,1.99,New York,Bachelor,2
548,23,M,20973,1.88,Houston,None,4
549,75,M,22011,1.89,New York,Bachelor,2
550,34,M,94913,1.88,Los Angeles,Bachelor,1
551,5,M,78832,1.8,Houston,Master,2
552,14,F,57940,1.61,Los Angeles,None,0
553,77,M,64293,1.8,Phoenix,Bachelor,5
554,56,M,84830,1.94,Phoenix,Master,3
555,45,M,36423,1.86,Chicago,PhD,1
556,94,F,55418,1.98,Houston,Bachelor,4
557,41,M,46827,1.88,Phoenix,None,0
558,56,M,79850,1.8,Houston,Master,5
559,78,M,60209,1.56,Houston,None,0
560,66,F,76660,1.87,New York,PhD,4
561,15,F,86706,1.52,Houston,PhD,1
562,50,F,29208,1.68,Houston,Bachelor,3
563,74,F,87137,1.59,New York,Master,1
564,25,F,46333,1.72,Phoenix,None,3
565,33,F,56627,1.88,Chicago,None,3
566,6,M,80875,1.99,Chicago,Bachelor,2
567,91,M,36530,1.56,Chicago,Master,2
568,56,F,22845,1.84,New York,PhD,2
569,-7,,-1901,1.57,,mastre,-2
570,67,M,96151,1.72,Los Angeles,None,0
571,69,F,52340,1.83,New York,Bachelor,3
572,88,M,31855,1.9,Los Angeles,Bachelor,2
573,93,M,75274,1.76,New York,Master,0
574,95,F,75584,1.92,Chicago,Bachelor,3
575,95,M,65105,1.54,New York,None,4
576,86,F,30634,1.8,Phoenix,None,3
577,26,F,75723,1.6,New York,None,1
578,47,F,21613,1.96,Phoenix,PhD,2
579,56,F,83551,1.55,Houston,Master,3
580,9,M,85633,1.61,Houston,PhD,2
581,86,F,65327,1.82,Los Angeles,PhD,1
582,43,F,51794,1.83,New York,Bachelor,2
583,80,F,94475,1.87,Phoenix,Master,5
584,41,F,26551,1.67,Houston,Bachelor,1
585,85,M,44758,1.77,Chicago,PhD,5
586,16,F,52140,1.62,Phoenix,Bachelor,0
587,93,F,40257,1.76,Los Angeles,Master,1
588,39,M,52005,1.99,Chicago,Bachelor,1
589,65,F,35779,1.64,New York,PhD,1
590,40,F,73832,1.54,Houston,Bachelor,0
